Code,Name,StateId,BranchId
05001,MEDELLIN,2,2
05002,ABEJORRAL,2,2
05004,ABRIAQUI,2,2
05021,ALEJANDRIA,2,2
05030,AMAGA,2,2
05031,AMALFI,2,2
05034,ANDES,2,2
05036,ANGELOPOLIS,2,2
05038,ANGOSTURA,2,2
05040,ANORI,2,2
05042,SANTAFE DE ANTIOQUIA,2,2
05044,ANZA,2,2
05045,APARTADO,2,2
05051,ARBOLETES,2,2
05055,ARGELIA,2,2
05059,ARMENIA,2,2
05079,BARBOSA,2,2
05086,BELMIRA,2,2
05088,BELLO,2,2
05091,BETANIA,2,2
05093,BETULIA,2,2
05101,CIUDAD BOLIVAR,2,2
05107,BRICEÑO,2,2
05113,BURITICA,2,2
05120,CACERES,2,2
05125,CAICEDO,2,2
05129,CALDAS,2,2
05134,CAMPAMENTO,2,2
05138,CAÑASGORDAS,2,2
05142,CARACOLI,2,2
